Name, Email
Advertising Marketing And Pr Society, studentactivities@londonmet.ac.uk
African Society, studentactivities@londonmet.ac.uk
Afro-Caribbean Society, studentactivities@londonmet.ac.uk
Ahlulbayt Society (Absoc), studentactivities@londonmet.ac.uk
Albanian Society, bec0330@my.londonme
Amnesty International Society, amnesty.londonmet@gmail.com
Arab Society, studentactivities@londonmet.ac.uk
Asian Network, studentactivities@londonmet.ac.uk
Aviation Society (Avsoc), studentactivities@londonmet.ac.uk
Bame Forum, studentactivities@londonmet.ac.uk
Banking Finance And Economics Society, londonmetbbf@gmail.com
Black Case, studentactivities@londonmet.ac.uk
Brief Club, studentactivities@londonmet.ac.uk
Christian Union, studentactivities@londonmet.ac.uk
Climate Justice, scf0059@my.londonmet.ac.uk
Coding Society, studentsunion@londonmet.ac.uk
Commercial Awareness Society, studentactivities@londonmet.ac.uk
Community Development Society, studentactivities@londonmet.ac.uk
Criminology Society, studentsunion@londonmet.ac.uk
Cyber Security And Ethical Hacking, studentactivities@londonmet.ac.uk
Dance And Theatre, studentactivities@londonmet.ac.uk
Data Science And Ai Club, uts0028@my.londonme
Debating Society, studentactivities@londonmet.ac.uk
Diplomatic Society, studentactivities@londonmet.ac.uk
Disabled Students Forum, disabledstudentsofficer@londonmet.ac.uk
Empowerment Society, studentactivities@londonmet.ac.uk
Events Society, events.metsocieties@gmail.com
Film Society, studentactivities@londonmet.ac.uk
Filmmakers Society, studentsunion@londonmet.ac.uk
Fine Art Society, studentactivities@londonmet.ac.uk
First Love London Met, studentsunion@londonmet.ac.uk
Gamers' Society, gamerssociety0@gmail.com
Get2Draw Society, studentactivities@londonmet.ac.uk
Ict Society, studentsunion@londonmet.ac.uk
Indian Society, studentactivities@londonmet.ac.uk
Informative Research Society, studentactivities@londonmet.ac.uk
International Students Society, dee0115@my.londonmet.ac.uk
Iphone Society, studentsunion@londonmet.ac.uk
Islamic Society, lmuisoc@live.co.uk
Italian Society, studentsunion@londonmet.ac.uk
Jewish Society (Jsoc), studentactivities@londonmet.ac.uk
Jewish/Israel Society, studentactivities@londonmet.ac.uk
Krishna Consciousness Society, studentactivities@londonmet.ac.uk
Lgbtq+, lmu.lgbtq@gmail.com
Lgbtqia+ Forum, studentactivities@londonmet.ac.uk
Lmu Economics Society, studentactivities@londonmet.ac.uk
London Met Afghan Society, londonmetafghansociety@gmail.com
London Met Bangladeshi Society, studentsunion@londonmet.ac.uk
London Met Fashion Society, studentactivities@londonmet.ac.uk
London Met Food Support Society, studentactivities@londonmet.ac.uk
London Met Refugee Association, studentactivities@londonmet.ac.uk
London Metropolitan Marxist Society, studentactivities@londonmet.ac.uk
Mass (Metropolitan Architecture Student Society), studentsunion@londonmet.ac.uk
Maths Society, lmsu.mathsoc@gmail.com
Micro Theatre Society, studentsunion@londonmet.ac.uk
Model Un, londonmetmun@gmail.com
Music Society, studentsunion@londonmet.ac.uk
Nigerian Society, studentsunion@londonmet.ac.uk
Nightlife Renaissance, studentactivities@londonmet.ac.uk
Nutrition Society, studentactivities@londonmet.ac.uk
Pakistani Society, studentsunion@londonmet.ac.uk
Poets Corner, studentactivities@londonmet.ac.uk
Postgraduate Research Society, studentactivities@londonmet.ac.uk
Psychology Society, studentactivities@londonmet.ac.uk
Repentant Souls, studentactivities@londonmet.ac.uk
Rocket Chat, studentactivities@londonmet.ac.uk
Rpf London Met Fellowship, studentactivities@londonmet.ac.uk
Scientific Society, studentactivities@londonmet.ac.uk
Sex And Relationships Society, studentactivities@londonmet.ac.uk
Sustainability, studentactivities@londonmet.ac.uk
Swss London Met (Socialist Worker Student Society), studentactivities@londonmet.ac.uk
The Anime Club, lmsuanimeclub@gmail.com
The Shitpost, studentsunion@londonmet.ac.uk
The Sustainability Society, sustainabilitysocietylmu@gmail.com
Trice-V-Fit, studentsunion@londonmet.ac.uk
Vegan Society, studentactivities@londonmet.ac.uk
Verve Magazine, studentactivities@londonmet.ac.uk
Verve Radio, studentactivities@londonmet.ac.uk
Verve Tv, studentactivities@londonmet.ac.uk
Women'S Forum, studentsunion@londonmet.ac.uk
Young Socialists Student Society, studentsunion@londonmet.ac.uk
