Name, Email
180 Degrees Consulting, recruitment.kcl@180dc.org
Afghan Welfare Society, afghanwelfaresociety@outlook.com
African And Caribbean Society, Kcl_acs@hotmail.com
African Caribbean Medical Society, acmsatKCL@gmail.com
Ahlul Bayt Society, kclabsoc1@gmail.com
Ahmadiyya Muslim Student'S Association, kings.amsa@outlook.com
Aid For Migrants, aidformigrants.kcl@gmail.com
Aiesec Kcl, kcl@aiesec.co.uk
Albanian Society, kclalbaniansoc@outlook.com
Amnesty International Society, amnestykcl@gmail.com
Anaesthetics And Intensive Care Society, kclanaesthetics@gmail.com
Anatomy Society, kclanatomy@gmail.com
Animal Rights Society, kclanimalrights@gmail.com
Anime And Manga Society, kclanimangasoc@gmail.com
Arab Society, kingsarabsoc@gmail.com
Armenian Society, kclarmsoc@gmail.com
Art Society, kclartsociety@gmail.com
Articaine Society, Articaine.KCL@gmail.com
Artificial Intelligence, kclaisociety@gmail.com
Asean Society (Association Of Southeast Asian Nations), kclaseansociety@gmail.com
Asian Medical Students Association (Amsa), uk.amsa@gmail.com
Association Of British And Chinese University Students (Abacus), kingsabacus@gmail.com
Austrian Society, austriansocietyKCL@gmail.com
Azerbaijan Society, kcl.azerbaijan.society@outlook.com
Baking Society, kclbakingsociety@gmail.com
Bame In The City, bameinthecity@gmail.com
Bangladesh Society, kclbds@gmail.com
Beauty Society, kclbeautysoc@gmail.com
Belgian Society, kclbelgiansociety@hotmail.com
Biochemistry Society, kclbiochemistrysociety@gmail.com
Biomedical Sciences Society, kclbiomedsociety@gmail.com
Bioscience Students' Association, BSA@kcl.ac.uk
Bollywood Society, kclbollywoodsociety@gmail.com
Book Club: A Thousand Splendid Crumbs, bookclubkcl@gmail.com
Brazilian Society, kclbraziliansociety@gmail.com
Breakin' Kcl, breakin.kcl@gmail.com
British Sign Language, kclbslsociety@gmail.com
Bulgarian Society, bulgarian.society.kcl@gmail.com
Canadian And American Society, kclcanam@gmail.com
Cardiovascular Society, info@kclcardiosoc.org
Catholic Society, kclcatholicsociety@gmail.com
Chemistry Society, kclchemsociety@gmail.com
Chinese Society, kclcs17@gmail.com
Chinese Students And Scholars Association King'S (Cssa King'S), kclcssa@outlook.com
Christian Medical Fellowship Society, kclchristianmedicalfellowship@gmail.com
Christian Union (Guy'S), Cucommittee@gmail.com
Christian Union (Strand), kingscu@gmail.com
Classics Society, adam.thain@kcl.ac.uk
Clinical Specialities Society, clinicalspecialtiessociety@gmail.com
Comedy Society, kclcomedysociety@gmail.com
Conservative Association, kclconservativesociety@gmail.com
Consulting And Financial Advisory Society, contactus@kingscfa.co.uk
Creative Writing Society, kclcreative@gmail.com
Czech And Slovak Society, KCLczechandslovak@gmail.com
Dance Society, contact@kcldancesoc.co.uk
Data Science Society, kclDataScience@gmail.com
Decolonise Kcl, decolonisekcl@gmail.com
Dermatology Society, kcldermatologysociety@gmail.com
Dhol Society, kingsdholacademy@hotmail.com
Disability Awareness Society, kcl.disability@gmail.com
Diverse Lawyers, diverselawyerssoc@gmail.com
Dj Society, kcldjsociety@gmail.com
Doctor Who Society, kcldoctorwhosociety@gmail.com
East African Society, kcleastafricansoc@gmail.com
Economics And Finance Society, kingsefs@gmail.com
Ecosoc, ecosockcl@gmail.com
Egyptian Society, kclegysoc@outlook.com
Emergency Medicine Society, info@kclems.co.uk
Enactus Kcl, president@enactuskcl.org
Endocrinology Society, kclendosoc@gmail.com
Engineering Society, engineeringsoc.kcl@gmail.com
Entrepreneurs Society, general@kingsentrepreneurs.com
Estonian Society, kclestsoc@gmail.com
European Law Students Association, kcl@uk.elsa.org
European Society, europeansociety.kcl@gmail.com
Extended Medical Degree Programme Society, extendedmedicinesociety@gmail.com
Ex-Yugoslavia Society, kclexyusociety@yahoo.com
Fashion Society, kclfashionsoc@gmail.com
Film Society, kclfilmsociety@gmail.com
Finnish Society, kclfinnishsociety@gmail.com
Fintech Society (Financial Technology), kclfintechsociety@outlook.com
First Aid Africa, kcl@firstaidafrica.com
Foodie Society, kclofficialfoodies@gmail.com
French Society, kclfrenchsociety@gmail.com
Friends Of Médecins Sans Frontières Society, kclmsf@hotmail.co.uk
Gaming And Esports (Kclge), kclvideogaming@gmail.com
Gastro Society, info@kclgastro.com
Generations Together, generationstogetherldn@gmail.com
Genetics Society, kclgeneticssoc@gmail.com
Geography Society, geogon.kcl@gmail.com
Geopolitical Risk Society, kclgpris@gmail.com
German Society, germansoc@gmail.com
Gilbert And Sullivan Society, kclgilbertandsullivan@gmail.com
Gkt Music Society, gktmusicsoc@gmail.com
Gkt Musical Theatre, GKTmusicaltheatre@gmail.com
Global Brigades Society, kclglobalbrigades@gmail.com
Global Health Society, KCLGlobalHealthSoc@gmail.com
Gp Society, kclmsgpsoc@gmail.com
Graduate Entry Medicine Society (Gems), GPEPsociety@gmail.com
Graphic Design Society, kcl.graphicdesign@gmail.com
Gulf Cooperation Council (Gcc) Society, k1893333@kcl.ac.uk
Harry Potter Society, HPSocKCL@outlook.com
Health Humanities Society, healthhumanitieskcl@gmail.com
Henna Society, kclhennasoc@gmail.com
Her Campus, kcl@hercampus.com
History Society, kclhistorysoc@gmail.com
Hot Chocolate Society, kclhotchocsoc@gmail.com
Hungarian Society, hungariansociety.kings@gmail.com
Ihsan, kclihsansociety@gmail.com
India Society, indiasoc@gmail.com
Indonesian Society, kcl.indosoc@gmail.com
Indo-Pak Development Forum, kclipdf@gmail.com
Infection And Immunity Society, KCLinfectiousImmunity@gmail.com
Innovation Forum, kclinnovationforum@gmail.com
Intersectional Feminist Society, kclfemsoc@gmail.com
Investment Banking Society, contact@kbfs.org.uk
Iranian Society, kcl.iransoc@gmail.com
Islamic Society, contact@kclisoc.org
Ispor Student Chapter At King'S College London, isporkcl@gmail.com
Israel Society, kclisrael@gmail.com
Italian Society, hello@kclitalians.com
Japan Society, kcljapansociety@gmail.com
Jazz Society, kcljazzsociety@gmail.com
Jewish Society, kcljsoc@gmail.com
Kashmir Solidarity Movement Society, kcl.kashmirsolidarity@gmail.com
Kcl Anglo-French Medical Society, afmskcl@gmail.com
Kcl Australia And New Zealand Society, kclaustralasiansociety@gmail.com
Kcl Bhangra, kclbhangra@outlook.com
Kcl Charity Diwali Show, kcldiwalishow@outlook.com
Kcl Chess Society, siting.gu@kcl.ac.uk
Kcl Climate Action Society, kcl.climateaction@gmail.com
Kcl Crohn'S And Colitis Society, kclcrohnsandcolitis@gmail.com
Kcl Ear Nose And Throat (Ent) Society, kcl.entsoc@gmail.com
Kcl Filipino Society, kclfilipinosociety@outlook.com
Kcl Hindu Society, kclhindusociety@gmail.com
Kcl Irish Society, kclirishsociety@gmail.com
Kcl Journal, kcljournal@gmail.com
Kcl Liberal Democrats, kingsliberaldemocrats@gmail.com
Kcl Luxury Lager Society, kclluxurylager@gmail.com
Kcl Marrow, kings@ukmarrow.org
Kcl Medical Genetics Society, kclmedgensoc@gmail.com
Kcl Ophthalmology Society, ophthalmologykcl@gmail.com
Kcl Pathology Society, kclpathsoc@gmail.com
Kcl Photography Society, info@kclsuphotosoc.co.uk
Kcl Physiology Society, kclphysiologysociety@gmail.com
