Name, Email
180 Degrees Consulting, 180degrees@qmsu.org
1Day Queen Mary, 1dayqueenmary@gmail.com
3D Net Society, 3dnetsociety@qmsu.org
93% Club, 93percent-club@qmsu.org
Academic Research Society, academicresearch@bartslondon.com
Accounting And Finance Society, qmsu.acct.soc@gmail.com
Actuarial Society, actuarialsociety@qmsu.org
Aero Horizon Society, aerohorizon@qmsu.org
Aerospace Medicine, aerospace@bartslondon.com
Afghan Society, qmulafghansoc@gmail.com
African And Caribbean Society (Acs), president.qmul.acs@gmail.com
African And Caribbean Society (Blacs), africancaribbean@bartslondon.com
Albanian Society, Albaniansociety@qmsu.org
Alpha Kappa Psi Society, qmakpsi@gmail.com
Alpine, alpinetrip@gmail.com
Alternative Dispute Resolution Society, QMULADRSoc@gmail.com
American Football (Qmbl), qmvipers@gmail.com
Anatomy Society, anatomy@bartslondon.com
Anime Society, animesociety@qmsu.org
Arab Society, arabsociety@qmsu.org
Archery, qmarchers@gmail.com
Art Business, artbusinesssociety@qmsu.org
Art Society, artsociety@qmsu.org
Artificial Intelligence And Robotics Society, robosociety@qmsu.org
Asian Development Society, asiandevsoc@qmsu.org
Aspire, aspire@qmsu.org
Association Des Juristes Queen Mary Sorbonne (Ajqs), Ajqs.society@gmail.com
Association Of British And Chinese University Students (Abacus), qmblabacus@gmail.com
Badminton, qmbadminton@gmail.com
Badminton (Bl), BLBadSoc@gmail.com
Baking Society, bakingsociety@qmsu.org
Bangladesh Society, qmulbsoc@gmail.com
Banking And Finance Society, qmul.bfs@gmail.com
Barbell, qmulbarbellclub@gmail.com
Barts And The London Association Of Plastic Reconstructive And Aesthetic Surgery, plasticsurgery@bartslondon.com
Barts And The London Kuwait Society, kuwaitsociety@bartslondon.com
Bart'S Cancer Research Institute Phd Forum, bci-phd-forum@qmul.ac.uk
Barts Community Smiles, communitysmiles@bartslondon.com
Basketball, bartslondonbasketball@gmail.com
Basketball (Qmbl Women), l.eude@se21.qmul.ac.uk
Believers' Loveworld Society, blwqueenmary@gmail.com
Bhangra Society, qmulbhangra@gmail.com
Biochemistry Society, biochemistrysociety@qmsu.org
Biological Sciences Society, biologicalsociety@qmsu.org
Biomedics Society, Biomedicsscociety@qmsu.org
Bl Anaesthetics And Intensive Care Society, blaicsoc@gmail.com
Bl Bangladesh Society, bangladeshsoc@bartslondon.com
Bl Christian Union, christianunion@bartslondon.com
Bl Craft Society, craft@bartslondon.com
Bl Cypriot And Hellenic, cypriothellenic@bartslondon.com
Bl Debating And Ethics Society, bartsdebating@gmail.com
Bl Ear Nose And Throat Society, entsoc@bartslondon.com
Bl Forensic Pathology Society, forensicpath@bartslondon.com
Bl Friends Of Msf Society, bartsfomsf@gmail.com
Bl Gastroenterology Society, gastroenterology@bartslondon.com
Bl Hong Kong Students In Healthcare, bartshksh@gmail.com
Bl Indian Society, indian@bartslondon.com
Bl Innovation In Medicine, blinnovationmed@gmail.com
Bl Islamic Society, contact@blisoc.com
Bl Malta African And Caribbean Society, acsmalta@bartslondon.com
Bl Malta Arab Society, h.mahfouz@smd22.qmul.ac.uk
Bl Malta Badminton, m.nair@smd21.qmul.ac.uk
Bl Malta Cardiology Society, blmaltacardiologysociety@gmail.com
Bl Malta Christian Union, maltachristianunion@bartslondon.com
Bl Malta Cricket Society, qmulmaltacc@bartslondon.com
Bl Malta First Aid Society, firstaidmalta@bartslondon.com
Bl Malta Isoc, ha20919@qmul.ac.uk
Bl Malta Mess, messgozo@bartslondon.com
Bl Malta Psychiatry Society, ha191423@qmul.ac.uk
Bl Malta Rounders Society, s.amin@smd22.qmul.ac.uk
Bl Malta Sikh Society, Maltasikh@bartslondon.com
Bl Malta Surgical Society, blsurgsoc.malta@gmail.com
Bl Military Medicine, MilitaryMedicine@bartslondon.com
Bl North African, blnasoc40@gmail.com
Bl Oral And Maxillofacial Society (Bloms), bloms@bartslondon.com
Bl Pakistan Society, blpakistansoc@gmail.com
Bl Prehospital And Emergency Medicine Society (Blpems), blpems@bartslondon.com
Bl Refugee Crisis Foundation Society, Blrefugeecrisisfoundation@gmail.com
Bl Sign Language Society, signlanguage@bartslondon.com
Bl Sports And Exercise Medicine Society, sportsandexercisemedicine@bartslondon.com
Bl Tamil Society, tamil@bartslondon.com
Bl Us Society, blus@bartslondon.com
Bl Volleyball, blvolleyball@bartslondon.com
Blockchain Society, QMBlockchain@gmail.com
Board Games Society, boardgamessociety@qmsu.org
Boat, qmulbc.president@gmail.com
Boat (Bl), boat@bartslondon.com
Bollywood Dance Society, bollywooddancesociety2022@outlook.com
Book Club, bookclub@qmsu.org
Brazilian Jiu Jitsu (Bl), qmblbjj@gmail.com
Bubble Tea, bubbleteasociety@qmsu.org
Bulgarian Society, bulgariansociety@qmsu.org
Calisthenics, qmcalisthenics@gmail.com
Cardiology Society, cardiology@bartslondon.com
Carrom Club, carromsoc@gmail.com
Catholic Society, catholicsociety@qmsu.org
Cheerleading, qmangels@googlemail.com
Chemistry Society, chemistrysociety@qmsu.org
Chess Society, chesssociety@qmsu.org
Chinese Students And Scholars Association (Cssa), cssaqmul@outlook.com
Christian Union (Qm), qmchristianunion@gmail.com
Cinema Society, cinemasociety@qmsu.org
Circadian Magazine, circadian@bartslondon.com
Class Society, bartslondonclass@gmail.com
Climbing, queenmaryclimbing@gmail.com
Commercial Awareness Group, qmcas.communications@gmail.com
Commuters' Society, commuterssociety@qmsu.org
Computer Science Society, computersciencesoc@qmsu.org
Conservative Society, qmulconservatives@qmsu.org
Cricket, ex20134@qmul.ac.uk
Cricket (Bl), cricket@bartslondon.com
Cross Cultural Activities Society (Ccas), tp21108@qmul.ac.uk
Cub, editorcub@gmail.com
Cycling, cycling@bartslondon.com
Czechoslovak Society, czechoslovaksocietyqmul@gmail.com
Dach Culture And Memorial Society, dach@qmsu.org
Dance, queenmarydancecompany@gmail.com
Dance Society (Whitechapel), dance@bartslondon.com
Debate Society, debatesociety@qmsu.org
Dental Society, dentalpresident@bartslondon.com
Dentalks Society, dentalks@bartslondon.com
Dermatology Society, dermatology@bartslondon.com
Desi Society, qmdesisociety@qmsu.org
Diaspora Speaks, diasporaspeaks@qmsu.org
Diknow Society, diknowsoc@qmsu.org
Drama Society, drama@bartslondon.com
Drug Science Society, drugscience@bartslondon.com
East European Society, easteuropean@qmsu.org
Economics Society, economicssociety@qmsu.org
Education For Choice, efcbarts@gmail.com
Emirati Society, emiratisocietyqm@hotmail.com
Enactus Society, Enactussociety@qmsu.org
Endocrinology Society, endocrinology@bartslondon.com
Engineering And Tech Society, qmstem@gmail.com
English Society, englishsociety@qmsu.org
Entrepreneurs Society, qmentrepreneurs@qmsu.org
Environmental Society, environmentalsociety@qmsu.org
Erasmus Student Network (Esn), qmul@esnuk.org
European Law Students' Association (Elsa), president.qmul@uk.elsa.org
Feminist Society, feministsociety@qmsu.org
Fencing, fencingqmbl@gmail.com
Filipino Society, filipinosociety@qmsu.org
Fintech Society, fintechsociety@qmsu.org
First Aid Society, ethan.denyer@sja.org.uk
First Love Society, firstlovesociety@qmsu.org
